nr,user,etappe,start,laenge,hoehenmeter,fahrzeit,grad,intro,strecke,weblink
3,MarieWieschollek,Tannheim - Reutte,Tannheim,44 km,500 m,4 h,mittelschwierig,"Diese grenzüberschreitende Mountainbike-Etappe erschließt das westliche Tannheimer Tal bis zur tirolerisch-bayrischen Grenze am Oberjoch, ehe Sie über die „grüne Grenze“ und das Vilstal nach Bayern und Pfronten gelangen. Auf einem Großteil dieser mittelschweren Etappe mit insgesamt 500 Höhenmeter fahren Sie über asphaltierte Wege.","Von der Kirche nimmt man die Straße Richtung Norden und unterquert die Bundesstraße. Nun geht es zuerst in den Weiler Berg und weiter durch die Wiesen des westlichen Tannheimer Tals immer entlang des Radwegs mit seinen grünen Wegweisern Richtung Zöblen/Schattwald. Kurz vor der Kläranlage beim Vilsstausee (45min ab Tannheim) wechselt man Richtung Pfronten auf den Höhenweg Schattwald/Kappl-Vilstal (803) und orientiert sich an den Radwegweisern bis zur Staatsgrenze. Auf bayrischer Seite verläuft die Route immer am Hauptweg des Tals bis ins Zentrum von Pfronten (1h 15min ab Vilsstausee). Bei der Polizeistation zweigt man rechts ab, überquert die Vils, um gleich danach wieder links Richtung Pfronten- Meilingen weiterzuradeln. Nun geht es am Vilsdamm entlang Richtung Pfronten- Steinach, bis man kurz vor der Grenze die Vils wiederum überquert und an deren Nordufer auf dem Radweg bis ins Zentrum der Stadt Vils fährt (ca. 30min ab Pfronten). Dort angekommen wird die Hauptstraße vor der Kirche überquert und es geht auf dem Radweg (gelbe Wegweiser) nach Musau. In Musau zweigt der Radweg rechts ab und man folgt wieder den grünen Schildern nach Lechaschau. Bei der Kirche in Lechaschau wird der Lech nach Reutte überquert, um gleich danach links abzuzweigen (Untergsteig). Nun radelt man ins Zentrum (45min ab Vils), dort durch die Fußgängerzone und gerade weiter auf der Straße, bis man sich bei der Abzweigung nach Ehenbichl rechts hält. Nach etwa einem Kilometer auf der Straße geht es links ab zur Ehrenberger Klause. Offizielles Etappenende ist ein paar hundert Meter weiter bei der Weggabelung (45min ab Reutte), wo die direkte Route aus Weißenbach und die nächste Etappe nach Ehrwald zusammenkommen.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-tannheim-reutte
6,lucakorosec,Ehrwald - Scharnitz,Ehrwald,40 km,990 m,4 h,mittelschwierig,"Rund 1.000 Höhenmeter gilt es auf dieser 40 Kilometer langen Etappe zu überwinden – außer, Sie legen einen Teil der Strecke (400 Höhenmeter) mit der Ehrwalder Almbahn zurück. Belohnt wird diese als mittelschwer eingestufte Etappe mit einer atemberaubenden Kulisse: Die Zugspitze präsentiert sich als stete Begleiterin, ehe Sie am Tor zum Naturpark Karwendel stehen.","Zunächst radelt man leicht ansteigend bis zur Talstation der Ehrwalder Almbahn. Von hier geht es immer aufwärts auf der Route Nr. 813 bis zur Ehrwalder Alm (1,5h ab Ehrwald). Alternativ kann man die Gondelbahn benutzen. Von der Ehrwalder Alm geht es weiter am Hauptweg aufwärts, in zwei Kehren zum höchsten Punkt auf 1.600m Seehöhe. Kurz danach an der markanten Abzweigung zur Seeben Alm hält man sich links Richtung Leutasch (551). Bei einem Abstecher zur Tillfussalm oder Gaistalalm wird man mit einem eindrucksvollen Blick auf die steil abfallenden Nordwände der Mieminger Kette belohnt. Weiter geht es auf dem Hauptweg durch das Gaistal, vorbei an der Mautstelle, bis in den Leutascher Ortsteil Klamm. Hier radelt man über die Brücke nach Obern und orientiert sich am „Hotel Bergland“. Nun geht es über die nächste Straße Richtung Leutasch Oberweidach (2h ab der Ehrwalder Alm). Der Weg führt bald in den Wald und wieder überquert man eine Straße, danach fährt man links in einen Waldweg. Ab hier folgt man immer den Schildern „539 Mooserweg Seepromenade“ bzw. „Leutasch Weidach“. Nach Passieren des Weidachsees erreicht man die Hauptstraße. Dieser folgt man etwa 350 Meter und zweigt dann gleich wieder rechts ab „541 Katzenkopf- Fluder“. Nun folgt ein Anstieg im Wald über 200 Höhenmeter und eine Abfahrt durchs Fludertal bis zur Straße. Dieser folgt man kurz in nördlicher Richtung bis man auf die Straße nach Scharnitz abzweigt. Kurz bevor man die Bundesstraße erreicht, zweigt man links in die Wiesen bei Giessenbach ab und radelt die letzten Kilometer zum Etappenziel nach Scharnitz (1,5h ab Leutasch Weidach).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-ehrwald-scharnitz
7,webmapping,Scharnitz - Achensee,Scharnitz,62 km,1.850 m,6 h,schwierig,"Diese als schwierig eingestufte Tour verlangt Können und Kondition. Mit 60 Kilometern Länge und 1.850 zu überwindenden Höhenmetern zählt sie zu einer der längsten und schwierigsten Etappen. Sie führt Sie durch die kontrastreiche Landschaft des Karwendels, das Ihnen mit schroffen Felsen, satten Wiesen und grünen Wäldern das breite Spektrum der Bergwelt offenbart.","Nach dem Start radelt man zunächst einen Kilometer taleinwärts, ehe man links auf die Forststraße zum Karwendelhaus abzweigt. Ohne Abzweigungen fährt man nun durch das Karwendeltal bis zum Karwendelhaus. Nur ein kurzer Anstieg ist es bis zum Hochalmsattel. Nach einer Abfahrt erreicht man den Kleinen Ahornboden und fährt nun auf gut ausgebauten Forststraßen durchs Johannestal Richtung Hinterriß. Im Rißtal angekommen radelt man taleinwärts bis zur Abzweigung auf das Plumsjoch. Nun geht es noch einmal gute 500 Höhenmeter zur Plumsjochhütte hinauf. Nach der Einkehr folgt eine technisch schwierige Abfahrt (Singletrail Plumsjoch oder Schiebestrecke) ins Gerntal und auf einer asphaltierten Straße weiter nach Pertisau. Nach der Ortsdurchfahrt radelt man direkt neben dem Achensee auf einem Radweg zum Etappenziel beim Parkplatz in Maurach- Buchau.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-scharnitz-achensee
8,maximilianender,Achensee - Kaiserhaus,Maurach am Achensee,56 km,1.460 m,5 h,schwierig,"Beschauliche Passagen, kraftvolle Anstiege und flotte Abfahrten kennzeichnen diese als schwierig eingestufte Route, bei der Sie rund 1.500 Höhenmeter überwinden. Die Etappe führt am Gumpen entlang durch waldreiches Gebiet. Nach einer langen Abfahrt von der Gufferthütte erreichen Sie das Brandenbergtal, das schon seit dem Mittelalter für seinen Holzreichtum und als feudales Jagdgebiet bekannt ist. Die Kaiserhütte am Einstieg zur Kaiserklamm ist ein 500 Jahre altes Forsthaus, in dem schon Kaiser Franz Joseph I. einkehrte.","Man folgt zu Beginn den Radwegweisern der Via Bavarica Tyrolensis (29) und fährt am Ostufer des Achensees entlang nach Achenkirch (45min ab Maurach). Etwa 500 Meter nördlich des Sees zweigt man rechts über eine Brücke ab, um gleich wieder rechts neben einer Doppelgarage in einen Feldweg einzufahren. Nach weiteren 150 Metern unterquert man die Achenseebundesstraße und fährt parallel dazu 400 Meter in nördlicher Richtung bis zur Abzweigung „Köglalm“. Den Radwegweisern (Nr. 461, bis zur Alm auch 402) folgt man nun über die Köglalm aufs Kögljoch und dann wieder abwärts, vorbei an der Schönjochalm bis nach Steinberg am Rofan (2,5h ab Achenkirch). Von hier geht es auf der Hauptstraße etwa 2,5 km in nordwestlicher Richtung bis zur Abzweigung des „Alten Steinbergwegs“ (461, 465). Auf diesem guten Forstweg bleibt man etwa 3 Kilometer, bis man rechts abzweigt (464, 465). Bei Erreichen der Straße fährt man kurz links und nach etwa 150 Metern geht es rechts vorbei am großen Parkplatz zum Forstweg auf die Gufferthütte (464, 465). Diesem folgt man bis zur Hütte (2h ab Steinberg). Nach der Einkehr fährt man die letzten 200 Meter zurück und folgt dann den Wegweisern Richtung Kaiserhaus (464, 465). Nach der Brücke über die Brandenberger Ache zweigt man rechts ab und fährt im Tal bis zum Kaiserhaus (344, 465; 1h 15min ab Gufferthütte).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-achensee-kaiserhaus
9,anna7br,Kaiserhaus – Kufstein,Kaiserhaus in Aschau,32 km,540 m,3 h 15 min,mittelschwierig,"Ihre Tour beginnt beim 500 Jahre alten Kaiserhaus in Aschau an der Brandenberger Ache. Die mittelschwierige Tour gestaltet sich sehr abwechslungsreich und führt neben mehreren Einkehrmöglichkeiten auch am Natur-Highlight Kaiserklamm vorbei – die zu den schönsten Schluchtenlandschaften Österreichs zählt. Nach rund drei Stunden Fahrzeit erreichen Sie Ihr Ziel, Kufstein. Für eine wohlverdiente Stärkung nach der Tour empfiehlt sich die Theaterhütte in Kufstein.","Leicht ansteigend verläuft der Beginn der Etappe (vorbei an der Kaiserklamm) in östlicher Richtung (Radweg Nr.326). Nach ca. 7 Kilometern kommt eine größere Wegkreuzung, bei der man rechts abzweigt. Von nun an hält man sich bis zum Thiersee an die Radwegweiser Nr. 327 (Thierseerunde). Bei Erreichen der Hauptstraße in Thiersee (2,5 Stunden ab Kaiserhaus) zweigt man rechts ab, um nach 400 Metern wiederum links in einen asphaltierten Weg („Lechen“) einzubiegen. Von nun an hält man sich an die Wegweiser Richtung „Wacht“. Nach der Einkehr im Gasthaus Wachtl radelt man den Schotterweg hinunter bis zur Holzbrücke über die Thierseer Ache und am alten Bahnhof vorbei über die Staatsgrenze. Immer auf der Hauptstraße fährt man nun nach Kiefersfelden bis man kurz vor dem Zentrum beim Schild „Zum Schaupenwirt“ rechts abzweigt. Nun geht’s durchs Wohngebiet, beim Sportplatz kurz nach rechts und gleich wieder links in einen schmalen Fahrweg und über die Brücke des Kieferbachs. Nach der Brücke fährt man links weiter, überquert nach ein paar hundert Metern die Hauptstraße, und es geht in gleicher Richtung weiter, bis man zur Autobahnbrücke über den Inn gelangt. Diese wird unterquert und man erreicht sofort das Etappenziel am Innufer.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-kaiserhaus-kufstein
10,jbaumgartner1983,Kufstein - Kössen,Kufstein,34 km,770 m,3 h,mittelschwierig,"Die mittelschwierige Etappe verläuft auf gut ausgebauten Radwanderwegen und Forststraßen und ist geprägt von saftigen Wiesen und grünen Wäldern, die in die imposante Kulisse des Kaisergebirges eingebettet sind. Nach dem Ort Durchholzen erfolgt ein Anstieg mit 350 Höhenmeter bis zur Gwirchtalm – ist diese Steigung überwunden, führt der Weg abwärts über das Habersautal zum Walchsee – ein Bad bietet hier angenehme Abkühlung und sorgt für eine erfrischende Weiterfahrt bis nach Kössen.","Zunächst folgt man 2 Kilometer dem Radweg flussabwärts direkt am Inn, ehe man rechts nach Oberndorf - Ebbs abzweigt. Das kleine Dorf wird durchquert und in weiterer Folge orientiert man sich immer an den grünen Radwegweisern mit dem Bike Trail Tirol Logo. Durch Wiesen und Wälder geht es nun vorbei an Ebbs Richtung Walchsee. Kurz vor dem Weiler Durchholzen erreicht man die Bundesstraße und radelt auf dieser 1,5 km durch den kleinen Ort (1,5 h ab dem Etappenstart) bis man wieder auf den Radweg (Nr.15) Richtung Walchsee abzweigt. Kurz vor dem Walchsee im Weiler Oed zweigt man vom Radweg rechts Richtung Habersautal (323) ab. Nun folgt ein Anstieg über 350 Höhenmeter zur Gwirchtalm, auf der anderen Seite hinab ins Habersautal und weiter zur Hauptstraße in Walchsee (1,5 h ab Durchholzen). Auf dieser geht es etwa einen Kilometer in östlicher Richtung bis man links auf den Radweg nach Kössen abzweigt (15). Von nun an folgt man immer den Radwegweisern nach Kössen bis ins Zentrum (1 h ab Walchsee).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-kufstein-koessen
11,timeastwood6020,Kössen - Kitzbühel,Kössen,56 km,1.900 m,7 h,schwierig,"Die rund 56 Kilometer lange Mountainbikestrecke startet in Kössen und führt über den Klausenberg zur Hasenauer Alm und durch Erpfendorf, entlang der Großache nach St. Johann in Tirol. 1.900 Höhenmeter sind auf dieser Tour zu überwinden, wobei den größten Anstieg jener knapp unter den Gipfel des 1.996 Meter hohen Kitzbüheler Horns darstellt. Diese Anstrengung wird aber mit einer herrlichen Aussicht auf die Kitzbüheler Alpen, zum Großvenediger, zum Großglockner und zu den Zillertaler Alpen belohnt.","Vom Etappenstart beim Kreisverkehr radelt man zunächst Richtung Hauptplatz und weiter auf der Gemeindestraße zur Tiroler Ache, vorbei am Outdoorcenter Le Pirat. Kurz danach wird der Fluss und die Straße überquert. Es folgt ein kurzer Anstieg bis man wiederum die Straße nach Kitzbühel erreicht und auf dieser bis zur Abzweigung „248 Klausenberg-Eggenalm“ bleibt. Nun folgt ein Anstieg bis auf etwa 1000m Seehöhe. Dabei radelt man immer in südlicher Richtung über dem Tal entlang bis zur Forststraßengabelung mit der Beschilderung „249 Straubingerhaus-Eggenalm“. Hier zweigt man rechts ab und es geht die nächsten 5 Kilometer abwärts Richtung Erpfendorf. Auf dem Radweg Nr. 18 radelt man nun immer entlang der Tiroler Ache, vorbei an Erpfendorf bis zur Abzweigung bei der neuen Brücke nach Kirchdorf. Weiter orientiert man sich an den grünen Radwegweisern mit dem Bike Trail Tirol Logo nach St. Johann in Tirol und in Folge nach Fieberbrunn (18). Im Weiler Mühlbach auf halber Strecke zwischen St. Johann in Tirol und Fieberbrunn verlässt man den Radweg und radelt zur Talstraße. Auf dieser geht es etwa 500m talauswärts bis zur Abzweigung auf das Kitzbüheler Horn (254), 3h ab Kössen. Nun folgt der Anstieg bis zur Hornköpflhütte (ca. 3h). Kurz unterhalb der Hütte zweigt ein Pfad links vom Weg ab, auf dem man das Rad 500 Meter bis zur nächsten Forststraße schieben muss. Etwa 2 Kilometer fährt man nun durch das Schigebiet und stößt dann auf die asphaltierte Bergstraße aufs Kitzbüheler Horn. Erst kurz vor dem Talboden verlässt man die Straße und radelt nach einer kleinen Bachbrücke geradeaus auf dem Radweg ins Zentrum von Kitzbühel (1,5h ab Hornköpflhütte).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-koessen-kitzbuehel
12,jo3093,Variante Pillersee,Erpfendorf,42 km,850 m,4 h,mittelschwierig,"Auf dieser Etappe geht es größtenteils entlang des Talbodens, dennoch gilt es auf einer Länge von 42 Kilometern 850 Höhenmeter zu überwinden. Blickfang dieser Variante ist der klare Pillersee, der an heißen Tagen auch Erfrischung bietet.","Man folgt dem Radweg zunächst durch Erpfendorf und in Folge leicht ansteigend bis nach Waidring (1h ab dem Etappenstart). Im Dorfzentrum zweigt man rechts auf die Straße nach St. Ulrich am Pillersee ab. Nach zwei Kilometern geht es rechts über eine kleine Brücke auf dem Radweg weiter, ehe man wieder die Straße überquert und auf einem Fahrweg zum Pillersee radelt. An den Radwegweisern orientiert man sich immer an „St. Ulrich“ und später „Hochfilzen“. Man durchquert die Beckenlandschaft und in südöstlicher Richtung geht es auf einer asphaltierten Straße Richtung Wiesental. Nach ca. einem Kilometer zweigt man links ab und fährt gleich wieder rechts parallel zur Straße auf einem Forstweg vorbei am Wiesensee in den Hochfilzener Weiler Warming (1,5h ab Waidring). Hier zweigt man zwischen den Bauernhöfen „Hörl“ und „Glaagut“ rechts auf die Radroute 17 „Buchensteinwandrunde“ ab. Dieser folgt man nun mehr als 10 Kilometer. Die Strecke führt oberhalb von Fieberbrunn vorbei wieder leicht ansteigend im Wald bis nach St.Jakob in Haus. Auf der Hauptstraße geht es links 100 Meter ab bis zur nächsten Abzweigung rechts auf die Radroute 18 „Kalksteinrunde“ Richtung St. Johann in Tirol auffährt. Den Radwegweisern folgt man nun bis zu den Häusern von Mühlbach auf halbem Weg zwischen Fieberbrunn und St.Johann (1,5h ab Warming). Hier endet die Route bei der Einmündung in die Etappe „Kössen-Kitzbühel“ kurz vor dem Anstieg auf das Kitzbüheler Horn.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-variante-pillersee
14,Silja18,Westendorf - Alpbach,Westendorf,37 km,1.300 m,4 h 30 min,mittelschwierig,"Von Westendorf führt die Strecke zunächst auf der Talstraße in das Windautal, einem ruhigen Seitental des Brixental. Ab Hopfgarten steigt die Strecke stetig an, nach dem Ort Thierbach geht es in Serpentinen bis auf eine Seehöhe von 1.680 Metern. Am „Oberen Höhenweg“ führt die Strecke dann nach Alpbach dem „Schönste Dorf Österreichs“.","Ab dem Zentrum folgt man für ca. 1,5 Kilometer der Talstraße ins Windautal. Kurz bevor die Straße in einer Linkskurve ins Tal hineinzieht wechselt man rechts auf einen Nebenweg (206). Es folgt eine kurze Abfahrt zum Lendwirt. Hier rollt man talauswärts Richtung Hopfgarten. Nach gut 3 Kilometern erreicht man die Brixental-Landesstraße. Auf dieser fährt man links und ein kurzes Stück bis nach Hopfgarten. Achtung, die Straße ist stark befahren! In Hopfgarten hält man sich an die Radwegbeschilderung „Wörgl“ und wechselt bald über eine Holzbrücke auf die linke Talseite. Nach einem knappen Kilometer auf dem Radweg zweigt man links auf die Straße in die Wildschönau ab. Auf dieser verkehrsarmen Route bleibt man bis in den Wildschönauer Ortsteil Niederau (824m). Die Route führt nun weiter, immer leicht ansteigend nach Oberau (938m). Nach einer kurzen Abfahrt erreicht man Mühltal (784m). Hier überquert man die Wildschönauer Ache und radelt auf der Bikeroute 351 (asphaltierte Straße) nach Thierbach (1.175m). Etwa 200 Meter nach der Kirche zweigt die Strecke links Richtung Schatzberg ab (Route 351). Gleich nach dem Schranken verwandelt sich die Straße in einen Forstweg. In mehreren Serpentinen fährt man bis in eine Seehöhe von 1.680 Meter immer auf der Bikeroute 351. Hier in einer Linkskehre wechselt man geradeaus auf einen Steig (Route 308) und schiebt das Bike eine kurze Strecke abwärts. Noch etwa 200 Meter folgt man dem Steig (nun befahrbar) relativ eben in westlicher Richtung. Es folgt eine kurze, steile Passage auf einem Wiesenweg hinunter zu einer Alm. Ab hier wird der Weg wieder besser und man folgt der Bikeroute Nr. 308 nach Alpbach. Kurz nachdem der Asphalt beginnt erreicht man den „Oberen Höhenweg“ (Bikeroute 321) und bleibt auf dieser Route bis ins Zentrum von Alpbach.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-westendorf-alpbach
15,simontrixl,Alpbach - Zell,Alpbach,44 km,1.150 m,5 h,mittelschwierig,Von Alpbach verläuft die mittelschwierige Etappe auf Forst- und Radwegen und zum Teil auf asphaltierten (Neben-)Straßen und führt über den Kerschbaumer Sattel ins Zillertal. Die 43 Kilometer lange Mountainbikestrecke mit rund 1.150 Höhenmeter verlangt von Beginn an Kondition. Im Gasthaus Hornboden können Hungrige sich für die Abfahrt stärken.,"Vom Zentrum Alpbachs fährt man etwa 750 Meter auf der Straße abwärts zur Talstraße. Hier zweigt man links ab und fährt bis Inneralpbach. Man hält sich nun an die Bikeroute 306 „Tour 25 Farmkehralm“. Leicht ansteigend bleibt man bis zur Abzweigung „Hornboden 307“ immer im Talgrund. Ab hier radelt man in einigen Serpentinen zur Moser-Baumgartenalm (1.603 m). Nun geht es weniger stark ansteigend über die Wiedersbergeralm zum Berggasthaus Hornboden im Schigebiet. Es ist nun nur mehr ein kurzer Anstieg zur Bergstation der Seilbahn, dem höchsten Punkt der Tour auf ca. 1.850 m Seehöhe. Ab hier hält man sich an die Beschilderung der Bikeroute Nr. 320 bzw. an die gelben Wanderwegweiser Richtung „Hygna-Reith“ und in weiterer Folge an „Kerschbaumer Sattel“. Die Strecke verläuft über Forstwege, immer abwärts. Kurz vor dem Kerschbaumer Sattel (kurzer Anstieg über rund 30 Höhenmeter) verwandelt sich der Forstweg wieder in eine asphaltierte Straße. Auf der Zillertaler Seite des Sattels fährt man etwa einen Kilometer abwärts. Nun zweigt man links auf die Radroute Nr. 429 ab (Achtung, der Wegweiser ist nur schlecht sichtbar). Es folgt nur ein kurzer Anstieg, danach verläuft die Strecke auf etwa 1.000 Meter Seehöhe über dem Zillertal taleinwärts. Man bleibt nun immer auf der Route Nr. 429 bis man nach einer längeren Abfahrt die Gemeinde Hart im Zillertal erreicht. Auf der Dorfstraße radelt man durch den Ort und weiter bis zum Ziller Fluss. Sofort nach der Brücke zweigt man links auf den Zillertalradweg (Nr. 13) ab und fährt auf diesem taleinwärts und ohne nennenswerte Anstiege bis ins Etappenziel nach Zell am Ziller.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-alpbach-zell
